iShares U.S. Technology ETF
Fund Holdings as of,"Jul 23, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"127,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","67,045,198.44","0.35","67,045,198.44","85,602.00","783.22","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","63,716,437.53","0.33","63,716,437.53","1,689,643.00","37.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","63,627,492.15","0.33","63,627,492.15","516,415.00","123.21","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","63,535,942.08","0.33","63,535,942.08","859,872.00","73.89","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","63,376,574.24","0.33","63,376,574.24","599,249.00","105.76","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","63,179,919.78","0.33","63,179,919.78","1,090,437.00","57.94","United States","NASDAQ","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","60,869,902.50","0.32","60,869,902.50","130,203.00","467.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","58,340,418.78","0.30","58,340,418.78","1,324,113.00","44.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","56,281,498.00","0.29","56,281,498.00","618,478.00","91.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","54,429,546.72","0.28","54,429,546.72","741,648.00","73.39","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","53,859,646.95","0.28","53,859,646.95","427,967.00","125.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","53,414,592.90","0.28","53,414,592.90","232,086.00","230.15","United States","NASDAQ","USD","1.00","USD","-"
"ANSS","ANSYS INC","Information Technology","Equity","48,238,616.64","0.25","48,238,616.64","150,708.00","320.08","United States","NASDAQ","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","47,480,460.72","0.25","47,480,460.72","271,131.00","175.12","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","46,596,261.51","0.24","46,596,261.51","27,063.00","1,721.77","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","46,040,451.08","0.24","46,040,451.08","2,241,502.00","20.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","45,986,931.20","0.24","45,986,931.20","355,936.00","129.20","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","41,944,322.31","0.22","41,944,322.31","518,023.00","80.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PINS","PINTEREST INC CLASS A","Communication","Equity","41,754,002.42","0.22","41,754,002.42","1,022,881.00","40.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBS","HUBSPOT INC","Information Technology","Equity","41,233,706.58","0.21","41,233,706.58","84,414.00","488.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","41,122,371.84","0.21","41,122,371.84","563,629.00","72.96","United States","NASDAQ","USD","1.00","USD","-"
