Ticker,Open,High,Low,Close,Adj Close,Volume,Market Cap,VWAP,Return,-1Hour,-1H_Return
MSFT,239.97999572753906,241.8000030517578,234.5,236.41000366210938,236.41000366210938,27018700.0,3172035461120.0,236.9721064949914,-0.014876206888022754,235.91000366210938,0.0021194523006160563
AAPL,152.74000549316406,154.72000122070312,149.9499969482422,151.75999450683594,151.75999450683594,84442700.0,3339227234304.0,152.01708458084872,-0.006416203686544883,151.52000427246094,0.0015838848178980596
NVDA,12.506999969482422,12.736000061035156,12.258000373840332,12.413000106811523,12.413000106811523,553854000.0,2777025085440.0,12.474737801391527,-0.007515780195111685,12.408999633789062,0.000322384812678096
META,137.9199981689453,139.4199981689453,134.1199951171875,134.39999389648438,134.39999389648438,30826500.0,1184534102016.0,136.05846758438125,-0.025522073079997456,134.74000549316406,-0.0025234643225314234
AVGO,46.95500183105469,46.98899841308594,45.6510009765625,46.474998474121094,46.474998474121094,17850000.0,706145222656.0,46.245194790255624,-0.010222624602606943,46.28200073242188,0.004170038862732557
GOOGL,99.43000030517578,100.0,96.87000274658203,97.5,97.5,30072800.0,2060770869248.0,97.97802432917557,-0.01941064366139116,97.18000030517578,0.00329285546222802
AMD,67.9000015258789,68.77999877929688,66.0,67.16999816894531,67.16999816894531,94871800.0,224789938176.0,67.3004932922623,-0.01075115376330832,67.2300033569336,-0.0008925358469745304
ADBE,281.70001220703125,284.5,274.7300109863281,277.57000732421875,277.57000732421875,6390900.0,240310599680.0,277.6920717074084,-0.014661003563525635,275.9849853515625,0.005743145666555647
GOOG,99.91000366210938,100.45999908447266,97.33999633789062,98.08999633789062,98.08999633789062,24225000.0,2059630936064.0,98.39862351065311,-0.018216467395736704,97.68000030517578,0.004197338569143301
CRM,148.3699951171875,150.61000061035156,146.25999450683594,148.88999938964844,148.88999938964844,7046600.0,254456381440.0,148.14965977454418,0.0035047805457580627,147.67999267578125,0.008193436984545723
ORCL,64.16000366210938,64.4000015258789,62.040000915527344,62.41999816894531,62.41999816894531,9284800.0,383165431808.0,62.716038264178465,-0.027119784816839843,62.5099983215332,-0.0014397721165333598
QCOM,121.55999755859375,122.68000030517578,118.75,120.33999633789062,120.33999633789062,5544400.0,200164311040.0,120.32533892235348,-0.010036206360690868,120.00399780273438,0.0027998945144192024
AMAT,84.43000030517578,85.18000030517578,82.52999877929688,84.1500015258789,84.1500015258789,6220000.0,170217177088.0,83.76170273989185,-0.0033163422750776697,83.7699966430664,0.004536288624095973
TXN,162.22999572753906,163.42999267578125,159.3000030517578,160.7100067138672,160.7100067138672,4261500.0,185028771840.0,160.62532939148184,-0.00936934632128485,160.11000061035156,0.0037474617527222275
INTU,399.70001220703125,407.2900085449219,395.2300109863281,400.7699890136719,400.7699890136719,1624300.0,177660510208.0,399.4646917548197,0.0026769496471428997,399.20001220703125,0.003932807511605012
IBM,122.5999984741211,123.94999694824219,121.08000183105469,121.73999786376953,121.73999786376953,4117200.0,175802253312.0,122.18110002212899,-0.0070146869580352805,121.77999877929688,-0.0003284686806397314
NOW,376.760009765625,379.29998779296875,371.20001220703125,378.95001220703125,378.95001220703125,2127400.0,170542235648.0,375.8479457898023,0.005812725301627971,376.0,0.007845777146359707
INTC,27.399999618530273,27.600000381469727,26.6200008392334,26.889999389648438,26.889999389648438,44121400.0,133410299904.0,26.89380476622072,-0.018613147298620004,26.829999923706055,0.0022362827474095284
MU,49.81999969482422,50.650001525878906,49.400001525878906,50.58000183105469,50.58000183105469,17297500.0,121118588928.0,50.078328457262145,0.015254960676152415,50.27000045776367,0.006166727083113427
LRCX,379.8599853515625,381.6499938964844,369.3399963378906,376.70001220703125,376.70001220703125,1183100.0,116960894976.0,374.25666614635486,-0.008318783937209594,375.0400085449219,0.004426204202985831
ADI,142.69000244140625,143.92999267578125,139.8699951171875,141.80999755859375,141.80999755859375,2964300.0,112115269632.0,141.37314121961333,-0.0061672497565052765,141.25999450683594,0.0038935514168606062
KLAC,310.9100036621094,311.5799865722656,302.5,308.3800048828125,308.3800048828125,1364500.0,106317127680.0,306.793329297946,-0.008137399084933999,307.0450134277344,0.004347868868394199
PANW,165.63999938964844,166.74000549316406,162.66000366210938,163.66000366210938,163.66000366210938,2952800.0,106159456256.0,164.29065942200424,-0.01195360863822124,163.52999877929688,0.0007949910339567544
SNPS,307.20001220703125,308.69000244140625,301.1600036621094,306.0899963378906,306.0899963378906,874700.0,83980754944.0,304.90216227977413,-0.0036133327637778616,305.4100036621094,0.0022264911680285383
APH,34.560001373291016,34.689998626708984,33.8650016784668,34.14500045776367,34.14500045776367,5033600.0,77087653888.0,68.38999902263946,-0.012008127865644955,68.1500015258789,-0.49897285849953155
CDNS,164.25999450683594,164.91000366210938,160.61000061035156,163.1300048828125,163.1300048828125,1539200.0,71053549568.0,162.6268277628905,-0.006879274697506527,162.72999572753906,0.002458115687185158
ROP,379.8599853515625,380.9700012207031,364.9700012207031,366.8999938964844,366.8999938964844,583600.0,58904727552.0,369.8150410525763,-0.03411781170655177,367.17999267578125,-0.0007625654580371241
CRWD,163.9499969482422,165.1199951171875,160.16000366210938,162.5800018310547,162.5800018310547,2162900.0,62122590208.0,162.60082187151357,-0.00835617653362932,162.3000030517578,0.0017251926927418651
MRVL,43.470001220703125,44.09000015258789,42.56999969482422,43.400001525878906,43.400001525878906,10397000.0,56385183744.0,43.366116367977035,-0.0016102988925355845,43.51499938964844,-0.0026427178072507915
