Ticker,Open,High,Low,Close,Adj Close,Volume,Market Cap,VWAP,Return,-1Hour,-1H_Return
MSFT,425.4800109863281,432.82000732421875,425.25,432.67999267578125,432.67999267578125,14551100,3160738365440,429.28174809688517,0.01692202101988871,431.4750061035156,0.002792714653734857
AAPL,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,207.14999389648438,172373300,3342220656640,202.99523686128586,0.06971340266200281,205.72999572753906,0.006902241765590195
NVDA,121.7699966430664,122.87000274658203,118.73999786376953,120.91000366210938,120.91000366210938,222551200,2781083860992,120.79147832079866,-0.007062437420260858,120.36499786376953,0.00452794257477317
META,500.1600036621094,507.6000061035156,498.2699890136719,507.4700012207031,507.4700012207031,9673700,1181262020608,503.47051760524045,0.014615318108347042,505.9100036621094,0.003083547562415176
AVGO,143.82000732421875,146.50100708007812,141.6230010986328,146.10299682617188,146.10299682617188,34844000,705819443200,144.86694189598535,0.015873935375392504,145.18800048828126,0.006302148488948072
GOOGL,176.22000122070312,176.83999633789062,173.77000427246094,176.6199951171875,176.6199951171875,21540600,2066090557440,175.24541036914582,0.002269855258844374,176.13999938964844,0.0027250807834808665
AMD,160.5,161.5399932861328,156.9199981689453,158.9600067138672,158.9600067138672,40497100,226267250688,158.7263423234062,-0.009594973745375778,158.0850067138672,0.00553499676021613
ADBE,456.9100036621094,462.739990234375,455.5,462.69000244140625,462.69000244140625,2723700,240517890048,458.97742693918883,0.012650190919372507,461.6400146484375,0.002274473095163489
GOOG,177.72000122070312,178.38999938964844,175.44000244140625,178.19000244140625,178.19000244140625,14402400,2064035741696,176.91463830338236,0.0026446163486092368,177.74000549316406,0.002531770756918844
CRM,241.16000366210938,243.75,236.25999450683594,240.99000549316406,240.99000549316406,7264400,254565974016,240.53326224363354,-0.0007049185866803099,241.07000732421875,-0.00033186140384146507
ORCL,124.05000305175781,124.83000183105469,122.29000091552734,123.87999725341797,123.87999725341797,18373900,383092064256,124.00834459167423,-0.0013704618634222173,124.41000366210938,-0.004260159095653386
QCOM,207.14999389648438,209.4499969482422,204.77999877929688,208.52000427246094,208.52000427246094,8197500,200935800832,207.3166336649269,0.006613615333540271,208.38999938964844,0.0006238537511073953
AMAT,227.27000427246094,230.07000732421875,224.63999938964844,229.97000122070312,229.97000122070312,4768600,170951999488,228.1274207470673,0.01188012891048005,229.15499877929688,0.003556555369718087
TXN,197.14999389648438,197.83999633789062,194.47999572753906,197.44000244140625,197.44000244140625,4193200,184426168320,196.65522918656714,0.0014710045848347678,197.19000244140625,0.001267812753713444
INTU,565.0,569.4199829101562,562.5700073242188,566.7000122070312,566.7000122070312,1571000,177053892608,566.7306581850245,0.003008871162887168,567.7899780273438,-0.0019196637180869881
IBM,169.97999572753906,170.0,166.80999755859375,169.32000732421875,169.32000732421875,2951300,176142123008,168.511069958911,-0.0038827416161264523,168.92999267578125,0.002308735365815325
NOW,711.72998046875,719.0,706.8699951171875,712.0399780273438,712.0399780273438,1061000,170369302528,712.5363814250201,0.0004355550097658997,710.0999755859375,0.002732013108161933
INTC,30.770000457763672,31.030000686645508,30.530000686645508,30.920000076293945,30.920000076293945,25326900,133452873728,30.830810379407204,0.004874865658067502,30.915000915527344,0.00016170663492009435
