Ticker,Open,High,Low,Close,Adj Close,Volume
MSFT,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,153.70681762695312,27746500.0
AAPL,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.65033721923828,132079200.0
NVDA,5.99399995803833,6.051000118255615,5.953750133514404,6.009500026702881,5.985335350036621,277108000.0
META,213.0,216.24000549316406,212.61000061035156,215.22000122070312,214.77865600585938,13475000.0
AVGO,31.29800033569336,31.349000930786133,30.840999603271484,30.874000549316406,30.874000549316406,31979000.0
GOOGL,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,70.17146301269531,35314000.0
AMD,47.849998474121094,48.29999923706055,47.13999938964844,47.83000183105469,47.83000183105469,53767000.0
ADBE,333.80999755859375,339.2300109863281,333.3999938964844,337.8699951171875,337.8699951171875,2248500.0
GOOG,69.60399627685547,70.5790023803711,69.54199981689453,70.21600341796875,70.13619232177734,30560000.0
CRM,175.22999572753906,178.85000610351562,174.75,177.3300018310547,176.82342529296875,7225100.0
ORCL,53.939998626708984,54.599998474121094,53.70000076293945,54.130001068115234,50.44633102416992,11856700.0
QCOM,88.9000015258789,89.47000122070312,87.91999816894531,88.70999908447266,80.23021697998047,7619900.0
AMAT,61.70000076293945,62.20000076293945,61.25,61.58000183105469,59.02039337158203,4364400.0
TXN,129.33999633789062,130.57000732421875,129.05999755859375,129.75999450683594,114.38981628417969,3546900.0
INTU,268.0,274.7699890136719,266.79998779296875,272.8800048828125,264.6344299316406,1373900.0
IBM,128.5946502685547,129.88528442382812,128.0305938720703,129.35946655273438,104.22613525390625,4545916.0
NOW,294.55999755859375,297.69000244140625,293.239990234375,295.6499938964844,295.6499938964844,1740800.0
INTC,58.88999938964844,59.31999969482422,58.52000045776367,58.970001220703125,52.34693145751953,23133500.0
MU,58.09000015258789,58.38999938964844,57.060001373291016,57.52000045776367,56.44264221191406,29730800.0
LRCX,297.4800109863281,301.6700134277344,295.20001220703125,299.9700012207031,283.712158203125,1553700.0
ADI,120.30999755859375,121.45999908447266,119.69000244140625,120.66000366210938,111.02350616455078,2036500.0
KLAC,176.5,178.66000366210938,175.52000427246094,176.6699981689453,166.60055541992188,883500.0
PANW,79.33333587646484,79.91999816894531,78.92666625976562,79.52333068847656,79.52333068847656,3157200.0
SNPS,143.1999969482422,146.60000610351562,142.55999755859375,145.86000061035156,145.86000061035156,1241800.0
APH,27.0,27.235000610351562,26.84749984741211,27.092500686645508,25.92499542236328,3231600.0
CDNS,71.27999877929688,72.76000213623047,70.95999908447266,72.27999877929688,72.27999877929688,1763100.0
ROP,361.7799987792969,366.0,359.3900146484375,364.8699951171875,355.7474670410156,453300.0
CRWD,54.20000076293945,55.86000061035156,53.29999923706055,55.65999984741211,55.65999984741211,7511600.0
MRVL,26.239999771118164,26.43000030517578,25.90999984741211,26.049999237060547,25.47208023071289,7860800.0
PLTR,,,,,,
ADSK,188.22000122070312,190.5,187.02999877929688,189.9499969482422,189.9499969482422,1314800.0
WDAY,172.9600067138672,179.61000061035156,172.0500030517578,178.7100067138672,178.7100067138672,2819900.0
MCHP,55.29999923706055,55.380001068115234,54.415000915527344,54.64500045776367,50.89678955078125,4806200.0
SNOW,,,,,,
MPWR,176.6999969482422,177.58999633789062,175.0800018310547,176.33999633789062,170.60079956054688,297500.0
SMCI,23.049999237060547,23.200000762939453,23.0,23.06999969482422,23.06999969482422,353700.0
HPQ,20.530000686645508,20.989999771118164,20.530000686645508,20.93000030517578,18.07756996154785,7780100.0
DDOG,40.29999923706055,41.08000183105469,39.150001525878906,39.95000076293945,39.95000076293945,1957200.0
CTSH,60.40999984741211,60.86000061035156,60.220001220703125,60.72999954223633,56.79722213745117,2912100.0
DASH,,,,,,
FTNT,22.389999389648438,22.8799991607666,22.360000610351562,22.733999252319336,22.733999252319336,6953000.0
IT,156.61000061035156,159.1300048828125,156.3000030517578,158.64999389648438,158.64999389648438,556100.0
GLW,29.709999084472656,30.079999923706055,29.65999984741211,30.040000915527344,26.192596435546875,8429600.0
VRT,11.399999618530273,11.479999542236328,11.359999656677246,11.449999809265137,11.417440414428711,1258800.0
ON,24.670000076293945,25.219999313354492,24.670000076293945,24.81999969482422,24.81999969482422,6660900.0
DELL,25.08869743347168,25.36239242553711,24.91130256652832,25.342119216918945,23.738283157348633,6934306.0
CDW,141.00999450683594,141.83999633789062,140.32000732421875,140.7100067138672,133.6492156982422,1034200.0
ANSS,256.4100036621094,258.8900146484375,255.91000366210938,257.7300109863281,257.7300109863281,445900.0
TEAM,128.32000732421875,131.80999755859375,127.33000183105469,130.05999755859375,130.05999755859375,1570400.0
MSTR,143.9499969482422,145.47000122070312,142.07000732421875,143.7100067138672,143.7100067138672,39500.0
HPE,15.569999694824219,15.805000305175781,15.489999771118164,15.760000228881836,13.54295539855957,7624900.0
NTAP,62.22999954223633,63.380001068115234,61.97999954223633,63.13999938964844,55.422019958496094,1801500.0
NET,17.649999618530273,18.0,17.5,17.780000686645508,17.780000686645508,543600.0
PINS,19.25,19.979999542236328,19.114999771118164,19.719999313354492,19.719999313354492,7363500.0
HUBS,169.10000610351562,173.6699981689453,168.99000549316406,173.0,173.0,849100.0
WDC,67.20999908447266,69.0,66.62999725341797,68.63999938964844,67.75248718261719,6600100.0
TER,68.38999938964844,68.87000274658203,68.0,68.30000305175781,67.01691436767578,1188100.0
TYL,311.7099914550781,314.82000732421875,310.989990234375,310.989990234375,310.989990234375,214100.0
APP,,,,,,
