Ticker,Open,High,Low,Close,Adj Close,Volume,Market Cap,VWAP,Return,-1Hour,-1H_Return
MSFT,277.82000732421875,281.2799987792969,275.8399963378906,278.010009765625,273.211181640625,21539600.0,3179021860864.0,278.43654923177314,0.0006839048174975939,277.8500061035156,0.0005758634464444249
AAPL,161.00999450683594,163.58999633789062,160.88999938964844,161.50999450683594,159.7031707763672,67829400.0,3360237813760.0,162.16820529696864,0.0031053972862459273,161.5449981689453,-0.00021668056891967547
NVDA,18.18199920654297,18.84600067138672,17.989999771118164,18.44099998474121,18.420255661010742,476469000.0,2807403905024.0,18.488274249695653,0.014244900973543011,18.392999267578126,0.002609727563448381
META,157.25,165.19000244140625,155.22999572753906,159.92999267578125,159.60202026367188,40596700.0,1186157559808.0,160.9793172982144,0.017042878701311607,160.1699981689453,-0.001498442254528265
AVGO,53.143001556396484,53.979000091552734,53.04399871826172,53.637001037597656,53.637001037597656,11485000.0,710706987008.0,53.5456017248628,0.009295663901801428,53.482000732421874,0.002898177013819499
GOOGL,115.30000305175781,116.72000122070312,114.33999633789062,114.86000061035156,114.72832489013672,26034300.0,2075864203264.0,115.38572156351566,-0.0038161529033848706,115.0250015258789,-0.0014344787075722925
AMD,95.58999633789062,98.38999938964844,93.95999908447266,96.77999877929688,96.77999877929688,96477500.0,227616849920.0,96.65326194726953,0.012449026958844527,96.36000061035156,0.0043586360137506455
ADBE,406.510009765625,417.1600036621094,405.07000732421875,411.0899963378906,411.0899963378906,1910000.0,241426857984.0,411.09180221182635,0.011266602204718734,410.1700134277344,0.0022429306873705352
GOOG,115.52999877929688,117.12000274658203,114.69000244140625,115.4800033569336,115.34873962402344,22856200.0,2074191986688.0,115.82011047453958,-0.0004327484020733885,115.55000305175781,-0.000605795698619446
CRM,181.3000030517578,185.17999267578125,179.75999450683594,182.97999572753906,182.457275390625,3997100.0,255438077952.0,183.09143155485154,0.00926636871209342,182.88999938964844,0.0004920790540268261
ORCL,77.18000030517578,77.80999755859375,76.69999694824219,77.44000244140625,75.14276885986328,5227500.0,383918833664.0,77.32118572684416,0.003368776045638765,77.36000061035156,0.0010341498245022304
QCOM,144.30999755859375,149.4600067138672,144.07000732421875,147.42999267578125,140.5888671875,7611400.0,201655631872.0,147.45241608397131,0.02162008987575998,147.13999938964844,0.0019708664356105337
AMAT,104.48999786376953,107.33999633789062,103.66999816894531,106.4000015258789,104.53047943115234,4737500.0,171548131328.0,106.14253204903648,0.018279296594489094,106.16000366210938,0.0022607183071828704
TXN,177.94000244140625,179.11000061035156,176.75,178.8000030517578,169.42111206054688,4865700.0,186302480384.0,178.00466099992514,0.004833093169338084,178.38999938964844,0.0022983556450035312
INTU,448.7900085449219,456.5299987792969,444.45001220703125,448.4599914550781,442.4725646972656,1696800.0,179485949952.0,449.7673018369539,-0.0007353485673928874,446.3500061035156,0.00472719910991367
IBM,130.75,132.6999969482422,130.6999969482422,132.0399932861328,120.458740234375,4142100.0,177060724736.0,131.91471206610314,0.009866105438874282,132.1300048828125,-0.0006812350968996008
NOW,438.989990234375,455.57000732421875,435.70001220703125,453.7699890136719,453.7699890136719,1729500.0,170910711808.0,449.7677446375619,0.033668190865595575,451.6400146484375,0.004716088690441601
INTC,36.04999923706055,37.689998626708984,36.04999923706055,36.959999084472656,35.034149169921875,52513400.0,133899845632.0,36.96905922466271,0.025242714748149025,36.85499954223633,0.0028489904637224923
MU,62.5,63.9900016784668,62.0,62.540000915527344,61.72461700439453,13347200.0,122099908608.0,62.92310073939805,0.0006400146484375,62.595001220703125,-0.0008786692883327248
LRCX,488.92999267578125,506.0,486.80999755859375,502.79998779296875,491.01373291015625,2000200.0,118155870208.0,500.5945764035712,0.028368059486964133,503.29998779296875,-0.0009934432984839924
ADI,170.7100067138672,172.3699951171875,169.44000244140625,171.4600067138672,165.26853942871094,2277100.0,112460136448.0,171.23101093441105,0.004393415561497226,170.7899932861328,0.003923025083863484
KLAC,381.19000244140625,390.70001220703125,378.4700012207031,385.6400146484375,376.7842102050781,1029300.0,107164688384.0,386.39253866677075,0.011674000310948012,385.95001220703125,-0.0008032065002953314
PANW,166.586669921875,170.5933380126953,165.0833282470703,169.22000122070312,169.22000122070312,3739200.0,106180501504.0,506.3453312692897,0.015807575120284786,507.42999267578125,-0.6665155712842835
SNPS,364.1700134277344,371.25,361.4100036621094,370.010009765625,370.010009765625,1022800.0,84507049984.0,369.32070951258186,0.01603645583809033,369.5,0.001380270001691475
APH,38.084999084472656,38.810001373291016,38.084999084472656,38.2599983215332,37.53819274902344,4924200.0,77538107392.0,76.78698452329552,0.004594964980106682,76.62000274658203,-0.50065261093664
CDNS,183.02000427246094,187.50999450683594,183.02000427246094,185.0399932861328,185.0399932861328,1812000.0,71512203264.0,185.46545147054215,0.011036984846010208,184.6199951171875,0.00227493326862412
ROP,432.8699951171875,436.1600036621094,430.0899963378906,432.3900146484375,427.34124755859375,396900.0,59122561024.0,432.57770848682,-0.0011088328462684476,431.6400146484375,0.001737559018041598
CRWD,180.77999877929688,187.64999389648438,178.99000549316406,183.3000030517578,183.3000030517578,2422400.0,62362181632.0,183.78295576037272,0.013939618815560757,182.83749389648438,0.0025296187637273817
MRVL,54.97999954223633,55.869998931884766,53.970001220703125,55.33000183105469,54.82196044921875,6959700.0,57077665792.0,55.132750305760325,0.006365992938022548,55.119998931884766,0.003809922047158158
PLTR,10.25,10.699999809265137,10.121999740600586,10.470000267028809,10.470000267028809,31694700.0,60337852416.0,10.468881002187508,0.021463440685737425,10.40999984741211,0.0057637291542914975
